date,DN_450,DN_500,DN_550,DN_570,DN_600,DN_650,DN_610,DN_680,DN_730,DN_760,DN_810,DN_860,Plot
2022-03-09,0.896719498,0.947408499,0.929302204,0.834392927,0.839379126,0.656209468,0.753715499,0.650141051,0.886741942,0.81840035,0.966380258,0.976440712,Sant Antonio 1
2022-03-10,0.937076673,0.997029011,0.982715402,0.89064995,0.876354465,0.694390402,0.801233445,0.692195173,0.917090755,0.827414773,0.984114297,0.967514835,Sant Antonio 1
2022-03-12,1.072654204,1.268662306,1.15293809,1.093056952,1.005729232,0.84695201,0.918006268,0.873994358,0.964270568,0.925480769,0.991108003,0.965000503,Sant Antonio 1
2022-03-13,0.990246546,1.047710591,1.014923633,0.922437755,0.878534064,0.722114137,0.825497927,0.7345105,0.928753181,0.881501311,1.000349685,0.976817862,Sant Antonio 1
2022-03-14,1.034611216,1.119800769,1.091946485,0.992740552,0.941275377,0.774562257,0.889697705,0.764549159,0.95327078,0.926300262,1.020831252,1.021572966,Sant Antonio 1
2022-03-19,1.093651224,1.179782294,1.19782558,1.07487137,1.047141612,0.855869001,0.968810029,0.872427124,1.079304495,1.002786276,1.13023279,1.073116766,Sant Antonio 1
2022-03-20,1.208570396,1.508775653,1.493674945,1.405908096,1.213024661,1.029588197,1.10504499,1.143819873,1.300758058,1.236341783,1.338170646,1.283440611,Sant Antonio 1
2022-03-21,1.076605256,1.172167574,1.155852862,1.042935715,0.982687757,0.806258106,0.921797594,0.82436527,1.020197201,0.952250874,1.074782696,1.019058634,Sant Antonio 1
2022-03-22,0.999841958,1.056448794,1.050629591,0.928351765,0.901419853,0.730058366,0.854564756,0.729286386,0.937234945,0.882593969,1.006094515,0.972040632,Sant Antonio 1
2022-03-23,0.926126614,1.033854297,0.964935292,0.859157845,0.85689376,0.6788262,0.808816095,0.679396092,0.902247668,0.841346154,0.994854631,0.960474706,Sant Antonio 1
2022-03-24,1.011808001,1.180406451,1.073947767,0.979212254,0.923994271,0.746919585,0.869982813,0.773430154,0.958439355,0.902534965,1.002847437,0.992658151,Sant Antonio 1
2022-03-25,1.152239682,1.283891746,1.24271307,1.108876929,1.038423216,0.854409857,0.966282479,0.879740884,1.023377863,0.973011364,1.054550904,1.037916122,Sant Antonio 1
2022-03-26,1.247290707,1.414465472,1.405065874,1.263380448,1.162816042,0.95849546,1.058538065,0.975864591,1.098918575,1.078452797,1.130982116,1.11158604,Sant Antonio 1
2022-03-28,1.543280954,1.816173166,1.737058412,1.71861139,1.461109727,1.356193256,1.354514205,1.212255773,1.347805344,1.240439248,1.394494955,1.302675249,Sant Antonio 1
2022-03-31,0.499412987,0.625655365,0.79719016,0.663995505,0.645005605,0.491407263,0.611667172,0.555845784,0.515267176,0.490056818,0.415126386,0.394247209,Sant Antonio 1
2022-04-02,0.132642464,0.17239227,0.183776379,0.176089656,0.171876946,0.158398184,0.172631685,0.171873367,0.163804071,0.152152535,0.149115796,0.142059741,Sant Antonio 1
2022-04-05,1.106407478,1.165301843,1.140987525,1.041161512,1.069404658,0.861705577,0.975634415,0.832462648,1.145568278,1.054141171,1.140973124,1.11711757,Sant Antonio 1
2022-04-07,0.648988531,0.824387077,1.048734989,0.891389201,0.861564329,0.650453956,0.80805783,0.745481141,0.752226463,0.679359703,0.59871116,0.541587046,Sant Antonio 1
2022-04-09,1.086200668,1.149822739,1.141279002,1.028224614,0.978562087,0.798394942,0.912698413,0.819924773,1.034112595,0.99486451,1.118743131,1.124283415,Sant Antonio 1
2022-04-10,1.023209609,1.062815199,1.005013408,0.908687681,0.893479885,0.727302205,0.860378122,0.713875248,0.95764419,0.907998252,1.054301129,1.017550035,Sant Antonio 1
2022-04-11,1.018129685,1.062690368,1.021627609,0.916819445,0.905156308,0.726005188,0.828025478,0.715703688,0.935909669,0.840253497,1.014087321,0.990898119,Sant Antonio 1
